coment,manifest_atendimento
Ótimo atendimento do colaborador Michel do TIC.,elogio
O prazo para conclusão efetivo foi muito longo.,reclamação
Ótimo atendimento,elogio
Fui atendida pelo Profissional Bruno Rodrigues dos Santos e quero deixar registrado o seu esmero em atender minha solicitação. Obrigada Bruno.,elogio
"Fui muito bem atendida, entretanto, o Técnico ficou de retornar para melhorarar a condição dos fios expostos que ficou sobre a mesa e ainda nao retornou, estou aguardando!",elogio
O Marcio fez um execelente atendimneto ao Evento,elogio
"EXCELENTE ATENDIMENTO, MUITO OBRIGADA.",elogio
"Profissional, atenciosa, atenda e proativa.  Deisy Ramos y836",elogio
Até o momento não recebemos nenhum papel para impressora.,reclamação
muito obrigada,elogio
"Foi eu que abri o registro solicitando o serviço para o Eduardo Chaffin, e em nenhum momento recebi um contato telefônico informando um parecer sobre a solicitação.",reclamação
"O problema foi resolvido para alguns arquivamentos. Todavia, persistiu em outros arquivamentos.",neutro
Solução rápida e eficiente. Parabéns,elogio
Aguardando atendimento. Bruno 706-9518 ou Bruna - 706-0821,reclamação
Atendente prontamente procedeu à verificação da agenda da sala.,neutro
"Excelente atendimento, super eficiente.",elogio
Obrigado!,elogio
Pessimo atendimento até o momento estou esperando o retorno que ficaram de fazer comigo.a onde foi perdidos varios documentos da minha maquina.,reclamação
Ótimo profissional.,elogio
Clareza e prontidão no atendimento. Ótimo!,elogio
Foi solicitado prioridade critica no atendimento dia 20/03/15 às 17:04 e até o dia 23/03/15 às 9:50 o mesmo anda NÃO HAVIA SIDO ATENDIDO. O referido rádio estava inoperante e é utilizado para estabelecer contato entre a Plataforma de PCH-2 e a sala de controle remoto no CCO.,reclamação
Excelente atendimento. Muito obrigada! ,elogio
"Agradecemos a equipe do suporte técnico pela resolução do problema supra,em tempo oportuno.",elogio
Profissional de atendimento cumpriu o que foi acordado - Parabéns !!!,elogio
""" MUITO BOM O ATENDIMENTO """,elogio
ÓTIMO ATENDIMENTO,elogio
Agradeço ao atendimento,elogio
Ainda não fui atendido na solicitação,neutro
"Eu abri o chamado com urgência, informando que precisava do atendimento até às 08:30, mas o técnico só recebeu o chamado depois das 15h.",reclamação
Resolvido de forma rápida e efetiva,elogio
Lentidão,reclamação
Ainda não realizado,neutro
Fui atendido por excelente profissional chamado Paulo.,elogio
maravilha,elogio
Atendimento perfeito - Obrigado!,elogio
Agora está funcionando a contento.,elogio
sDs,neutro
serviço realizado de forma adequada.,elogio
"Houve necessidade de abrir outro chamado para recolher o monitor que foi trocado (antigo), não seria possível em um mesmo chamado para troca de equipamento já haver a remoção do equipamento que foi trocado?",neutro
Com rapidez e eficiência.,elogio
otimo atendimento,elogio
Todas as as pessoas envolvidas na solução do meu problema sempre se mostraram muito solícitas assim como tentaram algumas possibilidades antes de trocar minha máquina. ,neutro
O atendimento de hoje foi muito eficaz e cortez.,elogio
"Muito educada a atendente, falou com clareza e entendeu bem o problema rapidamente.  Resolveu o erro rapidamente.  O atendimento considero excelente.",elogio
Excelente atendimento,elogio
O problema foi resolvido prontamente.,neutro
Excelente atendimento,elogio
"Tratamento realizado em tempo hábil, muito bom",elogio
Obrigado pela resposta.,elogio
Agradeço a atenção dedicada. ,elogio
O tecnico Marcelo Pires foi muito prestativo e competente.,elogio
Atendimento rápido e eficiente pelo profissional Yuri da TIC de Araçás-BA,elogio
"Não havia autorização da gerência para liberação de cartas, portanto não houve como a atendente resolver meu problema. Não há reclamação quanto ao atendimento, pois não tinha como ser resolvido mesmo.",neutro
EXCELENTE ATENDIMENTO.,elogio
Excelente atendimento.,elogio
"Excelente atendimento, muito prestativo.",elogio
Foi atendido com eficiência da segunda tentaitva,elogio
Agradeço o excelente serviço sempre prestado.,elogio
"Excelente trabalho prestado pela TIC, pelo profissional Thiago. Muito grato. Onofre Laerte Camargos",elogio
Excelente atendimento.,elogio
Excelente a agilidade no atendimento pelo profissional.,elogio
Excelente atendimento!,elogio
Muito atencioso! Me explicou direitinho como fazer! Obrigada com a prestação do serviço.,elogio
ótimo,neutro
MUITO DEMORADO. ,reclamação
"Rapidez, cordialidade.",elogio
Rápido e atencioso (retorno telefônico para saber se a solução atendeu),elogio
"Ótimo atendimento, boa comunicação e agilidade.",elogio
O profissional Heber de Araújo atendeu prontamente.,neutro
Atendimento excelente pela equipe operacional que atua na Reman,elogio
Atendente muito atencioso.,elogio
Sem comentários,neutro
BOM,elogio
Excelente atendimento.,elogio
Fui atendido com plena satiafação.,neutro
Para que fechar o chamado se o mesmo NÃO foi resolvido e existe a possibilidade de solução a partir do envio de informações que ficaram faltando? Não entendi?? ,reclamação
SATISFEITO,neutro
Elogio a atendente!,elogio
Obrigado pela rapidez no atendimento,elogio
Excelente atendimento!,elogio
A CHAVE B3W9 NÃO SOLICITOU ESTE SERVIÇO.,reclamação
Muito obrigada!,elogio
Muito obrigada pelo rápido atendimento!,elogio
Atendente foi bastante clara nas explicações.,neutro
"O atendimento não foi possível porque não está disponível, o atendimento pessoal foi excelente.",reclamação
Muito obrigada pelo rápido atendimento!,elogio
Muito obrigada pela eficiência!,elogio
Excelente atendimento.,elogio
"Espera do material em 3 dias mas foi resolvido sim, grato.",elogio
show!,neutro
"Atendimento perfeito, rápido e com educação e cordialidade.",elogio
"Excelente atendimento, tanto no prazo quanto na solução. Parabéns!",elogio
EXCELENTE,elogio
Esse chamado não foi eu quem fez.,neutro
Fui muito bem atendido. Obrigado pela atenção.,elogio
Gostaria de ressaltar a velocidade na solução do referido incidente. Excelente!,elogio
Até o momento a estagiária continua se a chave ativa. ,reclamação
 Rápido e eficiente,elogio
Foi bem atendido.,elogio
parabéns a equipe do TIC.,elogio
ótimo trabalho!! ,elogio
"O motivo de não conseguir acessar o harem foi esclarecido, porém não consegui mudar a versão do Java 8 que está instalado em meu notebook, para o Java 6 conforme orientação do atendente.",neutro
Deviam melhorar o nível dos atendentes ao SAP. Nunca conseguem resolver nossos problemas,reclamação
Só tenho a agradecer.,elogio
"O consultor foi atencioso, educado e extremamente profissional",elogio
Atendente muito atencioso!,elogio
Gostaria de deixar registrado elogio ao atendimento realizado por este chamado: rapidez e realização do que foi solicitado.,elogio
"A principio me parece ter resolvido, mas ainda encontro lentidão noacesso ao Notes",elogio
Atendimento imediato,neutro
"Fui atendida pelo Profissional Bruno Rodrigues dos Santos desde o dia 20/MAR até o dia de hoje que, prontamente me atendeu e sanou o problema. Na realidade o incidente se deu por minha causa que estava sem tempo ontem para lhe dar atenção.    Quero deixar registrado o meu elogio ao profissionalismo do Bruno.         ",elogio
Gostei muito do tratamento dispensado para a solução da demanda solicitada. parabéns por este profissional .,elogio
NÃO FOI ENVIADA NOTA COM A DESCRIÇÃO DOS PERFIS,reclamação
Excelente atendimento!,elogio
Grato pelo apoio,elogio
"Super atenciosa, prestativa, excelente!",elogio
ÓTIMO ATENDIMENTO,elogio
ATENDIDO,neutro
SEM COMENTÁRIOS.,neutro
Atendimento muito rápido e eficiente.,elogio
"Não foi resolvido devido, à impressora não está em rede.",neutro
Excelente trabalho da equipe da TI. A videocon foi perfeita. ,elogio
ÓTIMO ANTENDIMENTO,elogio
"A ligação estava muito ruim, inclusive com cruzamento de linha externa.",reclamação
SEM COMENTÁRIOS.,neutro
"uito bom, rápido e efeiciente.",elogio
Excelente atendimento no que se refere a prazo e qualidade. Parabéns!,elogio
Atendimento rápido e eficiente.,elogio
"Atendente foi prestativo e atencioso, tentou diversas formas de resolver o problema e aguardou até o final da replicação para garantir o bom funcionamento e correção do problema.",elogio
Problema é no exata,neutro
"Apesar de ter me tomado bastante tempo para resolução, o problema ainda persiste. Inicialmente, aparentava haver sido solucionado, porém, com um pouco mais de uso, o problema tornou a aparecer, não tendo sido resolvido.",reclamação
Muito bom,elogio
ótimo,elogio
Atendimento muito lento. A atendente desinstalou a versão atual sem confirmar se a versão 8 estava disponível.,reclamação
EXCELENTE ATENDIMENTO. RÁPIDO E EFICAZ.,elogio
Atendimento excelente!,elogio
obrigado pelo trabalho,elogio
"A solicitação foi efetuada com sucesso, porém demorou 02h:45m para resolver o problema, perdi uma manhã inteira. Impactando seriamente no desenvolvimento das atividades. ",reclamação
"Muito bem atendida, obrigada !",elogio
"Atendente alegou que como o ramal é novo, preciso aguardar a replicação no sistema. Aguardar quanto? Óbvio que esse tipo de atendimento não serve para nada e não resolve nada!!!",reclamação
"Dei nota 4 para o atendimento, pois o tempo de solução do problema foi um pouco demorado.",neutro
ótimo atendimento.,elogio
Técnico com excelente conhecimento,elogio
Atendimento rápido e eficiente.,elogio
Otimo atendimento.,elogio
"Muito bem atendida, obrigada!",elogio
Otimo atendimento,elogio
Apenas fui encaminhado para contabilidade.,reclamação
Ótimo atendimento,elogio
"Excelente atendimento da TIC, prestador do serviço muito bom, atencioso e ágil.",elogio
Atendente Lucas muito educado e atencioso. Resolveu meu problema de forma rápida e eficiente.,elogio
"A configuração do Notes foi realizada, mas a recomendação de manutenção do arquivamento no drive C: é um risco. Recentemente, o HD do meu computador queimou e todo o arquivamento foi perdido. A recomendação de responsabilização do usuário pelo backup, cria ainda um novo risco, pois além da permanência do risco de perda desses dados, ainda é adicionado o risco de extravio por pessoas com intenção de causar danos a empresa.",reclamação
Agradeço o excelente atendimento.,elogio
tudo ok bem atendido e aducadamente,elogio
Ótimo atendente,elogio
"Atendido no mesmo momento da solicitação, perfeito.",elogio
Excelente!,elogio
REGISTRO MINHA SATISFAÇÃO PELO EXCELENTE ATENDIMENTO E ATENÇÃO NO CHAMADO QUE REALIZEI HOJE. ,elogio
Atendimento muito rápido!,elogio
"Serviço prestado de forma eficiente, ágil e cortês. ",elogio
Ótimo atendimento. ,elogio
EXCELENTE ATENDIMENTO !,elogio
"A indicação foi de que há inconsistência na base de dados. Possivelmente a ""matrícula"" com tamanho imcompatível.  Apenas a decepção do setor responsável anunciar o aplicativo e termos problemas na base de dados.  Pode ser que aconteça com toda Transpetro, que tem um número de caracteres na matrícula menor que a Petrobras.",neutro
O chamado foi dado como concluido sem consulta ao solicitante. Impacto direto no resultado do trabalho impedido que a chave destino do chamado fosse atendida. ,reclamação
NÃO FIZ NENHUMA SOLICITAÇÃO DE TROCA DE TONNER,neutro
O atendimento foi eficiente.,elogio
Tudo que se espera de um atendimento profissional: rápido e objetivo,neutro
Otimo atendimento,elogio
Fui muito bem atendida pelo Sr. Durval que foi muito prestativo e eficiente.,elogio
Não obtive sucesso em minha solicitação mas não por conta da TIC. A solicitação não está prevista pelo SIOF.,neutro
Atendimento excelente,elogio
"Profissional ética e e responsável, resolveu a ocorrência mesmo tendo várias complicações na resolução do problema. Pela persistência conseguiu atender totalmente o meu problema.",elogio
Excelente atendimento,elogio
O atendimento foi rápido e eficiente.,elogio
Problema resolvido satisfatoriamente,elogio
"Quanto ao atendimento: EXCELENTE... Quanto a solução do problema, informo que o micro encontra-se em analise ainda. ",elogio
Atendimento rápido e eficiente!,elogio
A atendente foi extremamente educada.,elogio
tudo ocorreu bem.,neutro
Parabéns!!!!,elogio
Excelente!,elogio
"Não estou conwseguindo imprimir um arquivo, mas ficou verificado que o problema não é na instalação da impressora e sim no arquivo.",neutro
O suporte de TI foi muito eficiente na solução do problema. Obrigado.,elogio
